NAME,TEAM,ORPM,DRPM,RPM,WINS,Season,SEASON_ID,PLAYER_ID
Adreian Payne,ATL/MIN,-3.47,-3.72,-7.18,-2.21,15,22015,1065.0
Brandon Rush,GS,-4.63,-2.84,-7.47,-0.93,15,22015,1196.0
Chris Paul,LAC,4.58,3.89,8.47,17.24,14,22014,4.0
Stephen Curry,GS,7.79,-1.26,6.53,18.76,14,22014,1.0
Kevin Durant,OKC,6.17,-0.3,5.87,18.86,14,22014,7.0
James Harden,HOU,6.0,-0.55,5.45,16.13,14,22014,3.0
Dirk Nowitzki,DAL,3.43,1.87,5.3,14.54,14,22014,35.0
LeBron James,MIA,6.13,-0.89,5.25,15.56,14,22014,10.0
Kyle Lowry,TOR,3.9,0.96,4.86,14.64,14,22014,20.0
Kevin Love,MIN,5.34,-0.95,4.39,14.28,14,22014,13.0
Patty Mills,SA,2.95,1.33,4.28,7.35,14,22014,131.0
Kawhi Leonard,SA,1.36,2.87,4.23,9.25,14,22014,8.0
Danny Green,SA,1.38,2.81,4.19,7.85,14,22014,28.0
Goran Dragic,PHX,3.68,0.47,4.15,12.78,14,22014,26.0
Paul George,IND,0.92,3.2,4.12,13.32,14,22014,6.0
Manu Ginobili,SA,5.14,-1.08,4.06,7.41,14,22014,101.0
Carmelo Anthony,NY,2.41,1.59,4.0,13.26,14,22014,39.0
John Wall,WSH,3.56,0.26,3.82,13.42,14,22014,44.0
Paul Pierce,BKN,0.42,3.34,3.76,9.11,14,22014,183.0
