TEAMSEASID,SEASON,TEAM_ID,SEASON_ID,NAME,GP,W,L,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,"AST
RATIO",OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,POSS
raptors-16,16,27,22016,raptors,82,56,26,109.3,104.8,4.4,51.1,1.43,14.9,30,73.6,52,13.9,50.4,55.2,93.35,52.5,"7,707"
jazz-16,16,28,22016,jazz,82,40,42,105,103.2,1.8,52.6,1.27,15.1,30.3,73.1,51.7,16.1,50.1,54,91.66,50.8,"7,625"
wizards-16,16,29,22016,wizards,82,41,41,104.5,105.1,-0.5,61.9,1.69,18.1,25,73.7,49,14.5,51.1,54.4,99.16,49.7,"8,163"
hawks-17,17,0,22017,hawks,82,48,34,104.6,100.8,3.9,66.3,1.71,19,23.4,69.8,47.4,15.2,51.6,55.2,97.63,52.8,"8,059"
celtics-17,17,1,22017,celtics,82,48,34,105.8,102.5,3.3,61.6,1.76,17.4,29,70.7,49.5,13.8,48.8,53.1,99.43,52,"8,191"
nets-17,17,2,22017,nets,82,21,61,102.4,109.7,-7.4,58.3,1.51,17,27.9,71.6,49.4,15.3,49.2,52.7,96.12,46,"7,903"
hornets-17,17,3,22017,hornets,82,48,34,106.4,103.7,2.7,58.6,1.73,16.7,24.4,75.4,49.9,12.9,50.2,54.5,96.24,51.1,"7,966"
bulls-17,17,4,22017,bulls,82,42,40,104.1,105.5,-1.4,59.1,1.64,17,29,71.4,50.6,14.2,48.7,52.6,96.6,49.4,"8,008"
cavs-17,17,5,22017,cavs,82,57,25,110.2,103.9,6.3,58.7,1.67,17.4,29.4,74.2,51.9,14.3,52.4,55.8,93.82,52.8,"7,764"
mavericks-17,17,6,22017,mavericks,82,42,40,105.5,105.9,-0.4,59.2,1.73,17,24.1,72.3,48.4,13.2,50.2,54.4,95.34,50.3,"7,950"
nuggets-17,17,7,22017,nuggets,82,33,49,104.9,108.2,-3.3,60.1,1.55,16.9,30.4,73.2,51.3,15.1,48.9,53.1,96.34,47.9,"7,963"
pistons-17,17,8,22017,pistons,82,44,38,105.3,104.9,0.3,51.2,1.44,14.8,31.3,75.3,52.1,14,49.1,52.2,95.75,48.6,"7,942"
warriors-17,17,9,22017,warriors,82,73,9,113.5,102.8,10.6,68,1.91,20.4,26.7,72,50.7,15,56.3,59.3,100.24,56.7,"8,303"
rockets-17,17,10,22017,rockets,82,41,41,107.3,107.3,0,58.9,1.39,16.4,29.7,69.2,49.2,16.1,51.6,55.3,98.42,49,"8,139"
pacers-17,17,11,22017,pacers,82,45,37,103.8,102.2,1.6,55.4,1.43,16.1,27.1,71.4,49.4,15.1,49.7,53.6,97.35,51.8,"8,068"
clippers-17,17,12,22017,clippers,82,53,29,107.2,102.7,4.5,59.6,1.76,17.4,23.4,69.7,47.2,13.3,52.4,55.6,96.81,53.3,"7,995"
lakers-17,17,13,22017,lakers,82,17,65,100.7,110.3,-9.7,51.3,1.31,14.1,27.1,71.2,48.4,14.2,46,50.9,96.55,42.4,"7,930"
grizzlies-17,17,14,22017,grizzlies,82,42,40,104.7,107.1,-2.4,56.2,1.56,16,29.8,70.9,49.5,14,47.7,52.4,93.95,48.3,"7,763"
heat-17,17,15,22017,heat,82,48,34,105.5,103.7,1.7,54.3,1.48,16.3,28,72.9,51.2,14.8,50.8,54.5,94.14,52.5,"7,779"
bucks-17,17,16,22017,bucks,82,33,49,103.4,107.8,-4.5,60.3,1.52,17.6,28.6,68.9,49,15.9,49.9,53.7,95.05,48.3,"7,858"
timberwolves-17,17,17,22017,timberwolves,82,29,53,105.4,109,-3.5,61.9,1.56,17.6,27.9,70.2,49.4,15.5,49.8,54.9,96.2,49.7,"7,965"
pelicans-17,17,18,22017,pelicans,82,30,52,104.8,108.4,-3.7,57.7,1.65,16.8,25.2,74.8,49.3,13.7,49.8,53.7,97.64,47.2,"8,041"
knicks-17,17,19,22017,knicks,82,32,50,103.9,106.7,-2.8,55.7,1.53,16,28,71.8,50.2,14.2,48.3,52.7,94.12,48.7,"7,763"
thunder-17,17,20,22017,thunder,82,55,27,112.1,104.8,7.4,55.8,1.44,16.7,34.7,72,54.1,16.2,52.4,56.5,97.54,54.6,"8,061"
